,Category of dataset,dataset,relation,Configuration_Num,y_true,y_pred,Sc1,Sc2,execution_time,F1_score,recall,precision
17907,ChEMBL,assays_both_50_70_ac3_av,Semantically-Joinable,42.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'confidence_score', 'description', 'assay_organism', 'assay_strain', 'variant_id', 'assay_tissue', 'tissue_id', 'cell_id', 'src_id', 'assay_tax_id', 'assay_type', 'chembl_id', 'tid', 'assay_category', 'doc_id', 'assay_test_type', 'assay_cell_type']","['ss_d', 'chmbl_d', 'dscrptn', 'td', 'ss_rgnsm', 'ss_tx_d', 'ss_tss', 'tss_d', 'cll_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_tp', 'ss_sbclllr_frctn', 'crtd_b', 'ss_strn', 'src_d']",,0.13,0.07,1.0
17915,ChEMBL,assays_vertical_70_ac3_av,Semantically-Joinable,42.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'tissue_id', 'assay_tax_id', 'curated_by', 'assay_organism', 'doc_id', 'chembl_id', 'tid', 'assay_strain', 'cell_id', 'assay_tissue', 'description', 'variant_id', 'assay_type', 'src_id', 'assay_test_type', 'assay_category', 'assay_cell_type']","['chmbl_d', 'ss_d', 'dscrptn', 'dc_d', 'td', 'cll_d', 'ss_rgnsm', 'ss_tx_d', 'ss_tss', 'tss_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_sbclllr_frctn', 'crtd_b', 'ss_tp', 'src_d', 'ss_strn']",,0.12,0.07,1.0
17924,ChEMBL,assays_both_50_30_ac2_av,Semantically-Joinable,42.0,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'description', 'tissue_id', 'variant_id', 'tid', 'doc_id', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue']","['ASI', 'CHI', 'Descri', 'Ti', 'TISI', 'ASSCTY', 'CI', 'BAFO', 'CONFISC', 'RELAT', 'CUB', 'ASSSUBCELFR', 'SRI']",,0.75,0.6,1.0
17935,ChEMBL,assays_both_50_30_ac4_av,Semantically-Joinable,42.0,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'chembl_id', 'assay_organism', 'assay_tissue', 'assay_type', 'curated_by', 'doc_id', 'description', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_strain', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_ASI', 'assays_CHEI', 'assays_T', 'assays_ASORGA', 'assays_TII', 'assays_ASSTIS', 'assays_CI', 'assays_BFO', 'assays_CONFSCO', 'assays_RELATY', 'assays_ASSTY', 'assays_CURB', 'assays_SI']",,0.0,0.0,0.0
17938,ChEMBL,assays_vertical_30_ac1_av,Semantically-Joinable,42.0,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]","['assay_id', 'bao_format', 'assay_type', 'tid', 'assay_test_type', 'curated_by', 'doc_id', 'description', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['assays_assay_id', 'assays_chembl_id', 'assays_tid', 'assays_cell_id', 'assays_tissue_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_subcellular_fraction', 'assays_assay_type', 'assays_curated_by', 'assays_assay_test_type', 'assays_src_id']",,0.6,0.5,0.75
17947,ChEMBL,assays_vertical_50_ac4_av,Semantically-Joinable,42.0,"[1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'cell_id', 'assay_organism', 'bao_format', 'assay_cell_type', 'src_id', 'assay_type', 'curated_by', 'assay_test_type', 'confidence_score', 'description', 'doc_id', 'assay_category', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_subcellular_fraction']","['assays_ASSI', 'assays_CHEI', 'assays_Des', 'assays_T', 'assays_ASCT', 'assays_CEI', 'assays_ASORG', 'assays_TISI', 'assays_BFO', 'assays_CONSCO', 'assays_RELTY', 'assays_AST', 'assays_ASTET', 'assays_CURAB', 'assays_SI']",,0.0,0.0,0.0
17955,ChEMBL,assays_both_50_1_ac2_av,Semantically-Joinable,42.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['ASI', 'CHI', 'Ti', 'TISI', 'CI', 'BFOR', 'CONFISCO', 'RELATITY', 'CURB', 'SI']",,1.0,1.0,1.0
17963,ChEMBL,assays_vertical_1_ac1_av,Semantically-Joinable,42.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_assay_id', 'assays_chembl_id', 'assays_tid', 'assays_cell_id', 'assays_tissue_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_curated_by', 'assays_src_id']",,0.67,1.0,0.5
17969,ChEMBL,assays_both_50_50_ac5_av,Semantically-Joinable,42.0,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_test_type', 'variant_id', 'bao_format', 'assay_cell_type', 'src_id', 'curated_by', 'src_assay_id', 'tid', 'cell_id', 'assay_strain', 'doc_id', 'description', 'assay_type', 'assay_category', 'assay_organism', 'assay_tax_id']","['assays_chmbl_d', 'assays_ss_d', 'assays_td', 'assays_ss_tss', 'assays_tss_d', 'assays_ss_cll_tp', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_sbclllr_frctn', 'assays_crtd_b', 'assays_ss_tst_tp', 'assays_src_d', 'assays_ss_strn']",,0.0,0.0,0.0
17972,ChEMBL,assays_vertical_50_ac2_av,Semantically-Joinable,42.0,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'tid', 'assay_tax_id', 'variant_id', 'confidence_score', 'relationship_type', 'chembl_id', 'src_id', 'doc_id', 'assay_organism', 'assay_type', 'description', 'assay_test_type', 'assay_category', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['CHEI', 'ASSI', 'DOI', 'T', 'CI', 'ASSORGA', 'ASSTAI', 'TISI', 'BAFO', 'CONFISC', 'RELATT', 'ASSUBCELFRAC', 'ASTY', 'CURAB', 'SI']",,0.18,0.1,1.0
17975,ChEMBL,assays_vertical_70_ac4_av,Semantically-Joinable,42.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['assay_id', 'description', 'curated_by', 'assay_tax_id', 'src_assay_id', 'assay_type', 'assay_strain', 'bao_format', 'doc_id', 'assay_subcellular_fraction', 'cell_id', 'src_id', 'chembl_id', 'assay_cell_type', 'assay_category', 'assay_organism', 'assay_test_type', 'assay_tissue', 'tid']","['assays_CHEI', 'assays_ASI', 'assays_Desc', 'assays_DI', 'assays_ASSCT', 'assays_CI', 'assays_ASORG', 'assays_ASSTI', 'assays_TII', 'assays_BFOR', 'assays_CONFISCO', 'assays_RELTY', 'assays_ASSTY', 'assays_ASSUBCFRAC', 'assays_CUB', 'assays_ASSSTR', 'assays_SI']",,0.13,0.07,1.0
17978,ChEMBL,assays_both_50_1_ac4_av,Semantically-Joinable,42.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_ASSI', 'assays_CHI', 'assays_Ti', 'assays_TII', 'assays_CEI', 'assays_BFOR', 'assays_CONFSCO', 'assays_RELATT', 'assays_CURB', 'assays_SRI']",,0.0,0.0,0.0
17979,ChEMBL,assays_both_50_50_ac4_av,Semantically-Joinable,42.0,"[1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'cell_id', 'bao_format', 'assay_tissue', 'src_assay_id', 'assay_strain', 'chembl_id', 'assay_subcellular_fraction', 'assay_type', 'variant_id', 'tid', 'doc_id', 'description', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id']","['assays_CHEI', 'assays_ASSI', 'assays_Ti', 'assays_ASTI', 'assays_TII', 'assays_CEI', 'assays_ASSCTY', 'assays_BFO', 'assays_CONFSCO', 'assays_RELATITY', 'assays_AST', 'assays_ASSSUBCELFRA', 'assays_CUB', 'assays_SRI', 'assays_ASSTR']",,0.0,0.0,0.0
18006,ChEMBL,assays_vertical_30_ac2_av,Semantically-Joinable,42.0,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'description', 'cell_id', 'bao_format', 'curated_by', 'assay_subcellular_fraction', 'doc_id', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue']","['ASI', 'CHEI', 'Des', 'T', 'ASCT', 'CI', 'TISI', 'BFO', 'CONFSC', 'RELAT', 'ASSSUBCELFR', 'CURAB', 'SRI']",,0.29,0.17,1.0
18013,ChEMBL,assays_both_50_1_ac5_av,Semantically-Joinable,42.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_ss_d', 'assays_chmbl_d', 'assays_td', 'assays_tss_d', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_crtd_b', 'assays_src_d']",,0.0,0.0,0.0
18025,ChEMBL,assays_vertical_70_ec_av,Semantically-Joinable,42.0,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0]","['assay_id', 'cell_id', 'assay_category', 'tissue_id', 'confidence_score', 'assay_tissue', 'assay_test_type', 'chembl_id', 'src_assay_id', 'curated_by', 'assay_type', 'variant_id', 'src_id', 'assay_subcellular_fraction', 'relationship_type', 'description', 'doc_id', 'assay_organism', 'assay_tax_id']","['assay_id', 'chembl_id', 'description', 'tid', 'assay_cell_type', 'cell_id', 'assay_tissue', 'tissue_id', 'bao_format', 'confidence_score', 'relationship_type', 'assay_subcellular_fraction', 'assay_type', 'assay_strain', 'assay_test_type', 'curated_by', 'src_id']",,0.92,0.92,0.92
18047,ChEMBL,assays_vertical_1_ec_av,Semantically-Joinable,42.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['chembl_id', 'assay_id', 'tid', 'cell_id', 'tissue_id', 'bao_format', 'confidence_score', 'relationship_type', 'curated_by', 'src_id']",,1.0,1.0,1.0
18052,ChEMBL,assays_both_50_50_ac3_av,Semantically-Joinable,42.0,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_organism', 'src_id', 'tissue_id', 'doc_id', 'bao_format', 'src_assay_id', 'description', 'assay_subcellular_fraction', 'assay_type', 'assay_strain', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_tissue', 'assay_cell_type', 'tid']","['chmbl_d', 'ss_d', 'dscrptn', 'dc_d', 'ss_rgnsm', 'cll_d', 'tss_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_tp', 'crtd_b', 'ss_sbclllr_frctn', 'src_d', 'ss_strn']",0 days 00:02:01.301598,0.0,0.0,0.0
18085,ChEMBL,assays_vertical_1_ac2_av,Semantically-Joinable,42.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['ASSI', 'CHEI', 'T', 'CI', 'TISI', 'BAFOR', 'CONSCO', 'RELATITY', 'CURB', 'SRI']",,0.0,0.0,0.0
18101,ChEMBL,assays_vertical_70_ac5_av,Semantically-Joinable,42.0,"[0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'tid', 'assay_category', 'assay_test_type', 'confidence_score', 'assay_strain', 'relationship_type', 'assay_subcellular_fraction', 'assay_tissue', 'assay_cell_type', 'curated_by', 'description', 'assay_type', 'src_id', 'variant_id', 'doc_id', 'assay_organism', 'assay_tax_id', 'src_assay_id']","['assays_chmbl_d', 'assays_ss_d', 'assays_dscrptn', 'assays_dc_d', 'assays_td', 'assays_ss_cll_tp', 'assays_cll_d', 'assays_ss_tss', 'assays_tss_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_tp', 'assays_ss_sbclllr_frctn', 'assays_crtd_b', 'assays_ss_tst_tp', 'assays_ss_strn', 'assays_src_d']",0 days 00:04:59.298464,0.0,0.0,0.0
18109,ChEMBL,assays_both_50_1_ac3_av,Semantically-Joinable,42.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['chmbl_d', 'ss_d', 'td', 'tss_d', 'cll_d', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'crtd_b', 'src_d']",,0.0,0.0,0.0
18127,ChEMBL,assays_both_50_1_ac1_av,Semantically-Joinable,42.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_chembl_id', 'assays_assay_id', 'assays_tid', 'assays_tissue_id', 'assays_cell_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_curated_by', 'assays_src_id']",,0.67,1.0,0.5
18163,ChEMBL,assays_vertical_1_ac5_av,Semantically-Joinable,42.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['assays_chmbl_d', 'assays_ss_d', 'assays_td', 'assays_cll_d', 'assays_tss_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_crtd_b', 'assays_src_d']",,0.0,0.0,0.0
18185,ChEMBL,assays_both_50_70_ac2_av,Semantically-Joinable,42.0,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_organism', 'assay_subcellular_fraction', 'confidence_score', 'assay_cell_type', 'variant_id', 'assay_test_type', 'relationship_type', 'assay_tissue', 'assay_type', 'description', 'doc_id', 'curated_by', 'assay_category', 'bao_format', 'cell_id', 'assay_tax_id', 'assay_strain', 'tid']","['ASSI', 'CHI', 'Descr', 'DOI', 'ASSORGA', 'TII', 'CEI', 'ASTIS', 'ASCET', 'BAFOR', 'CONFSCO', 'RELAT', 'ASTY', 'ASSTTY', 'CURAB', 'ASSSUBCEFRA', 'SRI']",,0.24,0.14,0.67
18190,ChEMBL,assays_both_50_30_ac1_av,Semantically-Joinable,42.0,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1]","['assay_id', 'bao_format', 'assay_tissue', 'cell_id', 'curated_by', 'src_assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain']","['assays_chembl_id', 'assays_assay_id', 'assays_tid', 'assays_assay_tissue', 'assays_tissue_id', 'assays_assay_cell_type', 'assays_cell_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_curated_by', 'assays_assay_subcellular_fraction', 'assays_src_id']",,0.6,0.6,0.6
18202,ChEMBL,assays_both_50_50_ec_av,Semantically-Joinable,42.0,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0]","['assay_id', 'relationship_type', 'description', 'variant_id', 'assay_organism', 'assay_type', 'src_assay_id', 'bao_format', 'doc_id', 'assay_test_type', 'assay_tax_id', 'assay_category', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction', 'tid']","['chembl_id', 'assay_id', 'description', 'doc_id', 'assay_organism', 'assay_tax_id', 'tissue_id', 'cell_id', 'bao_format', 'confidence_score', 'relationship_type', 'curated_by', 'assay_test_type', 'assay_type', 'src_id']",0 days 00:01:31.412351,0.89,0.89,0.89
18209,ChEMBL,assays_both_50_30_ac5_av,Semantically-Joinable,42.0,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'src_id', 'description', 'assay_organism', 'confidence_score', 'tid', 'doc_id', 'assay_type', 'assay_test_type', 'assay_category', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['assays_chmbl_d', 'assays_ss_d', 'assays_dscrptn', 'assays_td', 'assays_ss_rgnsm', 'assays_tss_d', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_crtd_b', 'assays_ss_sbclllr_frctn', 'assays_src_d']",,0.0,0.0,0.0
18210,ChEMBL,assays_vertical_30_ac3_av,Semantically-Joinable,42.0,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'confidence_score', 'tissue_id', 'variant_id', 'relationship_type', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain']","['ss_d', 'chmbl_d', 'td', 'ss_cll_tp', 'cll_d', 'tss_d', 'ss_tss', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_sbclllr_frctn', 'crtd_b', 'src_d']",,0.0,0.0,0.0
18213,ChEMBL,assays_vertical_50_ec_av,Semantically-Joinable,42.0,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]","['assay_id', 'assay_cell_type', 'assay_type', 'cell_id', 'assay_test_type', 'description', 'confidence_score', 'src_assay_id', 'assay_category', 'tid', 'assay_tax_id', 'doc_id', 'assay_organism', 'assay_strain', 'assay_tissue', 'assay_subcellular_fraction', 'relationship_type']","['assay_id', 'chembl_id', 'description', 'tid', 'assay_cell_type', 'cell_id', 'assay_tax_id', 'tissue_id', 'bao_format', 'confidence_score', 'assay_type', 'assay_test_type', 'curated_by', 'src_id']",,1.0,1.0,1.0
18235,ChEMBL,assays_both_50_50_ac2_av,Semantically-Joinable,42.0,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_organism', 'curated_by', 'chembl_id', 'cell_id', 'assay_category', 'tid', 'tissue_id', 'assay_type', 'variant_id', 'description', 'doc_id', 'assay_test_type', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type']","['ASSI', 'CHEI', 'Descri', 'T', 'ASSORGA', 'TII', 'CI', 'BAFO', 'CONFSCO', 'RELT', 'ASSTY', 'ASSSUBCEFR', 'CUB', 'SI']",,0.5,0.33,1.0
18242,ChEMBL,assays_both_50_70_ac1_av,Semantically-Joinable,42.0,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1]","[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1]","['assay_id', 'variant_id', 'assay_tissue', 'src_assay_id', 'src_id', 'relationship_type', 'tid', 'tissue_id', 'description', 'confidence_score', 'chembl_id', 'assay_organism', 'assay_subcellular_fraction', 'assay_type', 'assay_tax_id', 'assay_test_type', 'doc_id', 'assay_category', 'assay_strain']","['assays_chembl_id', 'assays_assay_id', 'assays_description', 'assays_tid', 'assays_assay_organism', 'assays_assay_tax_id', 'assays_assay_tissue', 'assays_assay_cell_type', 'assays_tissue_id', 'assays_cell_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_type', 'assays_curated_by', 'assays_assay_test_type', 'assays_assay_subcellular_fraction', 'assays_src_id']",,0.75,0.64,0.9
18243,ChEMBL,assays_vertical_50_ac3_av,Semantically-Joinable,42.0,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'chembl_id', 'curated_by', 'assay_tissue', 'tissue_id', 'assay_subcellular_fraction', 'doc_id', 'cell_id', 'bao_format', 'variant_id', 'assay_cell_type', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id']","['chmbl_d', 'ss_d', 'dc_d', 'td', 'ss_cll_tp', 'cll_d', 'tss_d', 'ss_tss', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'ss_sbclllr_frctn', 'crtd_b', 'ss_strn', 'src_d']",0 days 00:03:43.278348,0.0,0.0,0.0
18246,ChEMBL,assays_vertical_70_ac1_av,Semantically-Joinable,42.0,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1]","['assay_id', 'tid', 'assay_test_type', 'bao_format', 'cell_id', 'assay_cell_type', 'description', 'assay_category', 'src_assay_id', 'relationship_type', 'curated_by', 'assay_type', 'assay_tax_id', 'chembl_id', 'variant_id', 'tissue_id', 'doc_id', 'assay_organism', 'assay_strain']","['assays_chembl_id', 'assays_assay_id', 'assays_description', 'assays_tid', 'assays_cell_id', 'assays_assay_cell_type', 'assays_assay_tax_id', 'assays_assay_tissue', 'assays_tissue_id', 'assays_bao_format', 'assays_confidence_score', 'assays_relationship_type', 'assays_assay_type', 'assays_assay_subcellular_fraction', 'assays_assay_test_type', 'assays_curated_by', 'assays_src_id']",,0.73,0.62,0.89
18251,ChEMBL,assays_both_50_1_ac2_av,Semantically-Joinable,43.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tax_id', 'assay_strain', 'assay_tissue', 'assay_cell_type', 'assay_subcellular_fraction']","['CHI', 'ASI', 'Ti', 'TISI', 'CI', 'BFOR', 'CONFISCO', 'RELATITY', 'CURB', 'SI']",,1.0,1.0,1.0
18263,ChEMBL,assays_both_50_30_ac3_av,Semantically-Joinable,43.0,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_subcellular_fraction', 'assay_tax_id', 'assay_cell_type', 'assay_strain', 'bao_format', 'doc_id', 'description', 'assay_type', 'assay_test_type', 'assay_category', 'assay_organism', 'assay_tissue', 'tid']","['ss_d', 'chmbl_d', 'ss_tx_d', 'tss_d', 'cll_d', 'ss_cll_tp', 'b_frmt', 'cnfdnc_scr', 'rltnshp_tp', 'crtd_b', 'ss_sbclllr_frctn', 'src_d', 'ss_strn']",0 days 00:01:04.875739,0.0,0.0,0.0
18267,ChEMBL,assays_both_50_70_ac5_av,Semantically-Joinable,43.0,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['assay_id', 'assay_category', 'assay_cell_type', 'variant_id', 'assay_type', 'tissue_id', 'assay_tissue', 'bao_format', 'relationship_type', 'doc_id', 'chembl_id', 'assay_strain', 'assay_test_type', 'src_assay_id', 'assay_subcellular_fraction', 'curated_by', 'description', 'assay_organism', 'assay_tax_id']","['assays_chmbl_d', 'assays_ss_d', 'assays_dc_d', 'assays_td', 'assays_tss_d', 'assays_ss_tss', 'assays_ss_cll_tp', 'assays_cll_d', 'assays_b_frmt', 'assays_cnfdnc_scr', 'assays_rltnshp_tp', 'assays_ss_tp', 'assays_crtd_b', 'assays_ss_tst_tp', 'assays_ss_sbclllr_frctn', 'assays_ss_strn', 'assays_src_d']",,0.0,0.0,0.0
